2 Name,Mass (kg),Radius (km),X Position (km),Y Position (km),Z Position (km),X Velocity (km/s),Y Velocity (km/s),Z Velocity (km/s)
Moon,7.34767309E22,1736,-2.642738611308534E+04,-3.943067898157550E+05,3.367353228406396E+04,9.616921654322353E-01,-3.731598036546553E-02,-3.711095162562290E-02
Earth,5.972E24,6371,3.250578244903684E+02,4.849988066577140E+03,-4.141856898115345E+02,-1.182884912594702E-02,4.589879356368698E-04,4.564660745702455E-04
